name,date,energy,amount,on_peak,mid_day,off_peak,correct_amount,error_rounding,error_calculation,session_type_DEVICE,session_type_MOBILE,session_type_WEB,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,correct_duration
A,2019-01-29,199.39,99.62,7.0,4.0,5.0,104.64,0.0,1.0,1,12,3,15,1,9,7,24506
A,2019-01-30,229.57,120.3,4.0,5.0,4.0,123.83,0.0,1.0,8,4,1,12,1,8,5,32052
A,2019-01-31,517.17,260.41,12.0,9.0,8.0,271.29,0.0,2.0,11,14,4,24,5,21,8,58577
A,2019-02-01,246.48,119.31,2.0,12.0,2.0,127.22,0.0,1.0,4,11,1,15,1,8,8,35469
A,2019-02-02,196.62,101.37,2.0,8.0,3.0,101.38,0.0,0.0,3,10,0,12,1,8,5,25935
A,2019-02-03,124.05,56.04,0.0,10.0,3.0,62.17,0.0,1.0,7,5,1,12,1,9,4,16056
A,2019-02-04,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4,0,0,0,4,4,0,8
A,2019-02-05,277.07,148.47,4.0,6.0,1.0,148.47,0.0,0.0,5,5,1,11,0,9,2,31804
A,2019-02-06,173.66,83.14,5.0,5.0,2.0,92.68,0.0,1.0,4,7,1,11,1,9,3,22354
A,2019-02-07,166.93,86.51,5.0,9.0,3.0,86.51,0.0,0.0,6,11,0,15,2,10,7,24334
A,2019-02-08,139.36,63.61,3.0,5.0,2.0,72.41,0.0,1.0,3,6,1,10,0,6,4,17501
A,2019-02-09,254.58,132.13,5.0,8.0,2.0,132.13,0.0,0.0,7,8,0,14,1,11,4,31847
A,2019-02-10,155.95,75.49,4.0,9.0,1.0,78.87,0.0,1.0,3,10,1,12,2,3,11,19069
A,2019-02-11,202.48,96.63,3.0,5.0,5.0,106.86,0.0,1.0,3,9,1,12,1,6,7,22385
A,2019-02-12,199.86,104.48,3.0,7.0,4.0,104.49,0.0,0.0,4,10,0,11,3,7,7,24282
A,2019-02-13,264.34,138.47,4.0,5.0,6.0,138.47,0.0,0.0,2,13,0,14,1,8,7,35740
A,2019-02-14,209.43,100.84,8.0,8.0,4.0,109.79,0.0,1.0,10,9,1,18,2,14,6,28699
A,2019-02-15,158.7,84.31,6.0,11.0,3.0,84.31,0.0,0.0,8,12,0,20,0,15,5,19330
A,2019-02-16,169.8,87.84,10.0,12.0,2.0,88.21,0.0,3.0,11,13,0,22,2,15,9,20100
A,2019-02-17,229.85,111.78,8.0,8.0,4.0,119.41,0.0,2.0,4,15,1,20,0,12,8,30748
A,2019-02-18,189.5,97.64,3.0,13.0,3.0,97.87,0.0,2.0,6,13,0,18,1,17,2,28304
A,2019-02-19,193.4,82.77,3.0,7.0,5.0,100.36,0.0,3.0,4,7,4,12,3,7,8,27155
A,2019-02-20,189.9,97.94,4.0,13.0,2.0,97.95,0.0,1.0,11,8,0,18,1,15,4,23444
A,2019-02-21,252.41,120.67,3.0,5.0,2.0,131.23,0.0,1.0,4,5,1,7,3,6,4,25634
A,2019-02-22,201.17,105.24,7.0,10.0,4.0,105.24,0.0,0.0,7,14,0,20,1,13,8,28537
A,2019-02-23,148.3,55.15,3.0,24.0,0.0,74.23,0.0,2.0,3,19,5,26,1,8,19,17825
A,2019-02-24,152.86,77.88,3.0,25.0,4.0,77.88,0.0,0.0,11,21,0,32,0,23,9,18217
A,2019-02-25,182.11,91.97,2.0,15.0,22.0,91.97,0.0,0.0,13,26,0,35,4,25,14,22304
A,2019-02-26,220.13,98.13,7.0,15.0,8.0,117.33,0.0,2.0,13,15,2,29,1,15,15,26930
A,2019-02-27,198.57,104.16,5.0,9.0,4.0,104.16,0.0,0.0,5,13,0,16,2,10,8,29716
A,2019-02-28,75.44,35.09,0.0,4.0,2.0,38.67,0.0,1.0,1,4,1,5,1,4,2,10967
A,2019-03-01,138.66,74.78,3.0,13.0,4.0,74.78,0.0,0.0,6,13,1,17,3,16,4,19538
A,2019-03-02,123.64,63.38,0.0,4.0,4.0,63.39,0.0,0.0,4,4,0,7,1,6,2,17313
A,2019-03-03,67.79,34.33,7.0,29.0,1.0,34.33,0.0,0.0,22,14,1,37,0,21,16,9185
A,2019-03-04,135.41,61.66,5.0,4.0,5.0,71.2,0.0,1.0,0,12,2,10,4,10,4,23250
A,2019-03-05,86.15,44.37,7.0,25.0,3.0,44.37,0.0,0.0,15,15,5,34,1,28,7,11432
A,2019-03-06,85.45,36.4,6.0,16.0,0.0,42.92,0.0,2.0,16,4,2,20,2,12,10,11924
A,2019-03-07,92.08,48.75,12.0,3.0,2.0,48.75,0.0,0.0,8,4,5,16,1,17,0,10217
A,2019-03-08,113.04,57.46,6.0,14.0,7.0,57.45,0.0,0.0,15,12,0,26,1,20,7,15351
A,2019-03-09,2.29,1.24,5.0,7.0,1.0,1.24,0.0,0.0,7,6,0,13,0,8,5,323
A,2019-03-10,86.1,40.84,6.0,22.0,11.0,43.58,0.0,1.0,13,15,11,38,1,24,15,17079
A,2019-03-11,132.16,59.4,9.0,10.0,2.0,66.21,0.0,1.0,6,15,0,19,2,9,12,15917
A,2019-03-12,114.3,57.28,3.0,12.0,2.0,57.28,0.0,0.0,3,14,0,16,1,8,9,15486
A,2019-03-13,86.21,44.21,3.0,8.0,10.0,44.21,0.0,0.0,8,9,4,19,2,9,12,9392
A,2019-03-14,171.55,90.88,9.0,11.0,3.0,90.88,0.0,0.0,10,12,1,21,2,18,5,23640
A,2019-03-15,205.53,107.29,4.0,5.0,4.0,107.29,0.0,0.0,7,6,0,9,4,10,3,30827
A,2019-03-16,170.39,88.11,2.0,8.0,4.0,88.11,0.0,0.0,4,9,1,14,0,8,6,20193
A,2019-03-17,141.07,72.19,2.0,6.0,3.0,72.19,0.0,0.0,3,8,0,10,1,6,5,18390
A,2019-03-18,128.17,68.09,7.0,18.0,3.0,68.09,0.0,0.0,5,18,5,26,2,14,14,18316
A,2019-03-19,112.86,44.87,9.0,22.0,2.0,61.23,1.0,3.0,15,13,5,23,10,21,12,12809
A,2019-03-20,54.94,28.26,2.0,1.0,5.0,28.26,0.0,0.0,4,4,0,8,0,7,1,5699
A,2019-03-21,181.71,88.72,3.0,5.0,1.0,95.8,0.0,1.0,4,4,1,6,3,8,1,22602
A,2019-03-22,89.71,46.92,4.0,2.0,3.0,46.93,0.0,0.0,3,6,0,8,1,7,2,12827
A,2019-03-25,123.32,64.74,4.0,7.0,0.0,64.74,0.0,0.0,6,5,0,11,0,8,3,16644
A,2019-03-26,255.65,130.74,2.0,7.0,6.0,130.75,0.0,0.0,5,10,0,13,2,12,3,33268
A,2019-03-27,98.37,51.22,9.0,9.0,4.0,51.22,0.0,0.0,9,10,3,20,2,10,12,13436
A,2019-03-28,138.55,67.62,8.0,6.0,2.0,73.81,0.0,1.0,9,6,1,16,0,6,10,19146
A,2019-03-29,158.45,74.71,4.0,5.0,5.0,82.66,0.0,1.0,2,12,0,13,1,7,7,20192
A,2019-03-30,145.22,75.3,6.0,4.0,4.0,75.29,0.0,0.0,2,7,5,13,1,5,9,20064
A,2019-03-31,122.6,62.53,2.0,5.0,3.0,62.53,0.0,0.0,6,4,0,9,1,10,0,19746
A,2019-04-01,199.6,102.6,5.0,5.0,2.0,102.6,0.0,0.0,4,8,0,11,1,10,2,22275
A,2019-04-02,270.64,140.24,2.0,12.0,3.0,140.25,0.0,0.0,10,7,0,15,2,13,4,29147
A,2019-04-03,132.98,67.72,0.0,6.0,4.0,67.72,0.0,0.0,1,9,0,8,2,7,3,15662
A,2019-04-04,275.99,140.98,3.0,10.0,2.0,140.98,0.0,0.0,11,4,0,13,2,12,3,26475
A,2019-04-05,311.49,162.73,8.0,9.0,8.0,162.73,0.0,0.0,9,10,6,25,0,15,10,39369
A,2019-04-06,95.68,48.68,4.0,9.0,3.0,48.79,0.0,1.0,10,6,0,12,4,11,5,16997
A,2019-04-07,96.49,50.42,1.0,4.0,2.0,50.42,0.0,0.0,2,4,1,7,0,5,2,14730
A,2019-04-08,168.64,82.52,4.0,9.0,4.0,86.98,0.0,2.0,8,8,1,17,0,8,9,21042
A,2019-04-09,181.61,95.45,3.0,5.0,2.0,95.45,0.0,0.0,5,5,0,10,0,9,1,18547
A,2019-04-10,158.4,81.14,3.0,8.0,4.0,81.4,0.0,1.0,7,8,0,15,0,12,3,20965
A,2019-04-11,175.16,93.6,5.0,3.0,2.0,93.6,0.0,0.0,5,5,0,9,1,8,2,22001
A,2019-04-12,160.44,83.45,3.0,7.0,2.0,83.45,0.0,0.0,5,7,0,11,1,8,4,18718
A,2019-04-13,251.89,130.28,5.0,8.0,4.0,130.29,0.0,0.0,4,13,0,16,1,10,7,30754
A,2019-04-14,310.27,155.35,7.0,11.0,6.0,164.01,0.0,2.0,8,15,1,23,1,11,13,37227
A,2019-04-15,261.75,127.0,9.0,7.0,6.0,138.29,0.0,1.0,10,11,1,21,1,12,10,31424
A,2019-04-16,341.64,168.26,7.0,7.0,7.0,179.56,0.0,1.0,7,13,1,19,2,12,9,35568
A,2019-04-17,330.43,143.35,4.0,12.0,5.0,172.69,0.0,4.0,4,13,4,19,2,10,11,35558
A,2019-04-18,182.82,95.32,4.0,10.0,4.0,95.32,0.0,0.0,12,6,0,16,2,15,3,26037
A,2019-04-19,436.88,227.82,5.0,12.0,5.0,227.82,0.0,0.0,6,16,0,19,3,18,4,47350
A,2019-04-20,261.67,140.78,5.0,12.0,5.0,140.78,0.0,0.0,9,13,0,21,1,13,9,31409
